@context
jams.components.core.TemporalContext	TimeLoop	10227
@ancestors
@filters
@attributes
ID	rain	snow	snowTotSWE	reachStation	catchmentSimRunoff	netRain	netSnow	precip	
@types
JAMSLong	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	
@data
@start
1985-02-18 07:30	0.000000	0.000000	252.823048	11974711.656969	11974711.656969	0.000000	0.000000	0.000000	
1985-02-19 07:30	0.000000	0.000000	252.823048	12038688.004049	12038688.004049	0.000000	0.000000	0.000000	
1985-02-20 07:30	0.000000	0.000000	252.823048	11313788.554869	11313788.554869	0.000000	0.000000	0.000000	
1985-02-21 07:30	0.000000	0.000000	252.823048	10349919.488008	10349919.488008	0.000000	0.000000	0.000000	
1985-02-22 07:30	0.000000	0.000000	252.823048	9412635.468522	9412635.468522	0.000000	0.000000	0.000000	
1985-02-23 07:30	0.000000	0.000000	252.823048	8591120.049180	8591120.049180	0.000000	0.000000	0.000000	
1985-02-24 07:30	0.000000	0.000000	252.283656	8527340.217501	8527340.217501	0.000000	0.000000	0.000000	
1985-02-25 07:30	0.000000	0.000000	247.854033	11694088.784011	11694088.784011	0.000000	0.000000	0.000000	
1985-02-26 07:30	0.000000	0.000000	240.462809	22438391.685588	22438391.685588	0.000000	0.000000	0.000000	
1985-02-27 07:30	1.022136	1.995191	240.131044	29134654.575454	29134654.575454	0.000000	0.000000	3.017327	
1985-02-28 07:30	1.859415	3.705164	241.696606	38982064.048299	38982064.048299	0.000000	0.000000	5.564579	
1985-03-01 07:30	2.531505	33.181551	274.109419	55302189.182990	55302189.182990	0.000000	0.000000	35.713056	
1985-03-02 07:30	0.003547	3.719250	277.338623	39835799.840241	39835799.840241	0.000000	0.000000	3.722797	
1985-03-03 07:30	0.000000	0.000000	277.329659	32077595.774207	32077595.774207	0.000000	0.000000	0.000000	
1985-03-04 07:30	1.478624	18.620617	295.081648	34440625.156190	34440625.156190	0.000000	0.000000	20.099242	
1985-03-05 07:30	0.000927	3.393046	297.957502	30211923.157709	30211923.157709	0.000000	0.000000	3.393973	
1985-03-06 07:30	0.000000	0.053138	297.994322	26581848.560848	26581848.560848	0.000000	0.000000	0.053138	
1985-03-07 07:30	0.000055	0.287742	298.181424	23973968.335329	23973968.335329	0.000000	0.000000	0.287798	
1985-03-08 07:30	0.000000	0.000000	298.027525	22225670.874066	22225670.874066	0.000000	0.000000	0.000000	
