# Thornthwaite model output
# 
time	daylength	potet	snowMelt	runoff	soilMoistStor
1960-01-01 00:00	9.33255896071047	15.047297791099853	0.0	15.0	179.09225530890015
1960-02-01 00:00	10.507190826128427	17.14014183655309	0.0	15.985943917234707	200.0
1960-03-01 00:00	11.991759950871064	28.199341928763687	0.0	14.844015602634869	200.0
1960-04-01 00:00	13.65051396297922	74.98422627795331	0.0	13.359614042371383	173.4733276220467
1960-05-01 00:00	15.050936226789666	110.66605518660502	0.0	13.363757981678413	200.0
1960-06-01 00:00	15.799406660430348	171.3897109893968	0.0	12.027382183510573	103.2862991106032
1960-07-01 00:00	15.442932668826764	179.67945619621918	0.0	10.824643965159517	88.89226200845678
1960-08-01 00:00	14.182514991311116	155.1852203117197	0.0	9.742179568643564	59.06727705974112
1960-09-01 00:00	12.557289510138974	98.01216138965108	0.0	8.767961611779208	48.02440416240911
1960-10-01 00:00	10.972153042310678	53.2625944976428	0.0	7.891165450601289	110.38824366476632
1960-11-01 00:00	9.604174654535178	25.25709273170095	0.0	7.102048905541159	103.86246881673695
1960-12-01 00:00	8.957607286548047	14.238881849199554	0.0	6.3918440149870435	174.0926879675374
1961-01-01 00:00	9.33255896071047	14.615931746863026	0.0	5.752659613488339	170.0911306732075
1961-02-01 00:00	10.507190826128427	21.807851228688335	0.0	5.1773936521395045	191.83016974451914
1961-03-01 00:00	11.991759950871064	41.522043292436834	0.0	8.687710432133786	200.0
1961-04-01 00:00	13.65051396297922	64.93433962484482	0.0	7.818939388920407	162.10254847515517
1961-05-01 00:00	15.050936226789666	113.4969904386497	0.0	7.0370454500283675	172.13422903650547
1961-06-01 00:00	15.799406660430348	152.97480997149174	0.0	6.333340905025531	136.54038117389356
1961-07-01 00:00	15.442932668826764	178.30933781619967	0.0	5.700006814522978	105.9621697625
1961-08-01 00:00	14.182514991311116	144.3012899156405	0.0	5.13000613307068	74.24748317497414
1961-09-01 00:00	12.557289510138974	85.07102530353163	0.0	4.6170055197636115	130.0053458714425
1961-10-01 00:00	10.972153042310678	50.271795400333524	0.0	4.155304967787251	146.19688357110897
1961-11-01 00:00	9.604174654535178	21.580939455934647	0.0	5.5965471025259586	200.0
1961-12-01 00:00	8.957607286548047	14.124901878802932	0.0	7.719446534393069	200.0
1962-01-01 00:00	9.33255896071047	13.005648163520474	0.0	8.570759274601714	200.0
1962-02-01 00:00	10.507190826128427	23.461691996140427	0.0	7.774869647527502	200.0
1962-03-01 00:00	11.991759950871064	36.01206543984536	0.0	7.338820638790217	200.0
1962-04-01 00:00	13.65051396297922	65.0338219801465	0.0	7.4139343068965475	200.0
1962-05-01 00:00	15.050936226789666	142.35791062165424	0.0	6.6725408762068925	105.87387037834576
1962-06-01 00:00	15.799406660430348	156.88807743207957	0.0	6.005286788586204	132.6277909462662
1962-07-01 00:00	15.442932668826764	193.60184231226933	0.0	5.404758109727584	60.500928076296674
1962-08-01 00:00	14.182514991311116	164.48052110593366	0.0	4.8642822987548255	23.789883594147263
1962-09-01 00:00	12.557289510138974	88.59317279782614	0.0	4.377854068879343	81.30315579632114
1962-10-01 00:00	10.972153042310678	54.813575282663145	0.0	3.9400686619914085	112.45446241365798
1962-11-01 00:00	9.604174654535178	23.893661251587073	0.0	3.546061795792268	134.4783579620709
1962-12-01 00:00	8.957607286548047	16.124812001544985	0.0	3.1914556162130414	149.5391004605259
1963-01-01 00:00	9.33255896071047	0.0	0.0	2.8723100545917375	149.5391004605259
1963-02-01 00:00	10.507190826128427	20.2318427569929	5.77144385	8.356522899132564	139.32852155225814
1963-03-01 00:00	11.991759950871064	44.46625474177752	2.885721925	5.2122930692193075	151.36315181048062
1963-04-01 00:00	13.65051396297922	80.20901693172647	1.4428609625	3.536774992297376	136.70975900059656
1963-05-01 00:00	15.050936226789666	127.40318690917513	0.72143048125	2.6059531080676392	89.65284130915043
1963-06-01 00:00	15.799406660430348	180.0636492496414	0.360715240625	2.0567856047608752	43.8408952332827
1963-07-01 00:00	15.442932668826764	208.2840570377951	0.1803576203125	1.7068209480347878	19.793323781501112
1963-08-01 00:00	14.182514991311116	170.70139105085929	0.09017881015625	1.463995805106309	6.762383037849391
1963-09-01 00:00	12.557289510138974	99.7147729471	0.045089405078125	1.2815247005331782	5.222990628175677
1963-10-01 00:00	10.972153042310678	66.11983018149647	0.0225447025390625	1.1353364684486105	3.980497817218237
1963-11-01 00:00	9.604174654535178	25.80424505327924	0.01127235126953125	1.0127849405881244	20.368467763938995
1963-12-01 00:00	8.957607286548047	12.17574216087595	0.005636175634765625	0.9069975060214996	35.032060103063046
1964-01-01 00:00	9.33255896071047	16.994712341357324	0.0028180878173828124	0.8140432851654433	36.35356896170572
1964-02-01 00:00	10.507190826128427	18.911708853321787	0.0014090439086914062	0.731511721521946	70.24563590838393
1964-03-01 00:00	11.991759950871064	36.31655990780154	7.045219543457031E-4	0.6577969318062749	92.46196250058239
1964-04-01 00:00	13.65051396297922	77.82023764446208	3.5226097717285155E-4	0.5917354298439091	88.72505512407326
1964-05-01 00:00	15.050936226789666	126.43169327405032	1.7613048858642578E-4	0.5324209824686491	89.15225585002295
1964-06-01 00:00	15.799406660430348	169.88769789305934	8.806524429321289E-5	0.47910843202634956	46.49670381716898
1964-07-01 00:00	15.442932668826764	217.73913971530044	4.4032622146606444E-5	0.4311623627259973	1.2298827747196128
1964-08-01 00:00	14.182514991311116	162.04377459233245	2.2016311073303222E-5	0.3880285134045389	1.0364250085970328
