@dataValueAttribs												
precip	0	9999	mm									
@dataSetAttribs												
missingDataVal	-9999											
dataStart	01.01.1985 00:00											
dataEnd	31.12.2006 00:00											
tres	d											
@statAttribVal												
name	Chaurikhark	Sallery	Pakarnas	Chialsa	Aisealukhar	Okhaldunga	Manebhanjyang	Kuruleghat	Sirwa	station_9	station_10	station_14
06.03.1985 00:00	0	0	0	0	0	0	0	0	0	0.0100288	0.065031201	2.33E-04
07.03.1985 00:00	0	0	0	0	0	0	0	0	0	0.140880898	0.910791755	0.158487946
08.03.1985 00:00	0	0	0	0	0	0	0	0	0	0.042828847	0.260706842	0.711892068
09.03.1985 00:00	0	0	0	0	0	0	0	0	0	6.87E-06	0	1.74E-04
10.03.1985 00:00	0	0	0	0	0	0	0	0	0	2.40E-05	0	6.06E-04
11.03.1985 00:00	0	0	0	0	0	0	0	0	0	3.76E-05	0	9.51E-04
12.03.1985 00:00	0	0	0	0	0	0	0	0	0	2.96E-05	0	7.47E-04
13.03.1985 00:00	0	0	0	0	0	0	0	0	0	1.13E-05	0	2.86E-04
14.03.1985 00:00	0	0	0	0	0	0	0	0	0	0	0	0
15.03.1985 00:00	0	0	0	0	0	0	0	0	0	9.30E-04	1.46E-04	0.240578651
16.03.1985 00:00	0	0	0	0	0	0	0	0	0	5.11E-04	8.02E-05	0.132129788
17.03.1985 00:00	0	0	0	0	0	0	0	0	0	0	0	0
18.03.1985 00:00	0	0	0	0	0	0	0	0	0	0.015061279	0.098008007	0
19.03.1985 00:00	0	0	0	0	0	0	0	0	0	0.011434946	0.065597065	0.358969092
20.03.1985 00:00	0	0	0	0	0	0	0	0	0	9.48E-04	1.49E-04	0.245017707
21.03.1985 00:00	0	0	0	0	0	0	0	0	0	0.004848917	7.61E-04	1.253644943
22.03.1985 00:00	0	0	0	0	0	0	0	0	0	0.006229078	9.77E-04	1.610255957
23.03.1985 00:00	0	0	0	0	0	0	0	0	0	0.010079942	0.065579049	0
24.03.1985 00:00	0	0	0	0	0	0	0	0	0	0.161452174	1.050231099	0
25.03.1985 00:00	0	0.5	0	0	0	0	0	0	0	0.179242462	1.150899768	0.012353393
26.03.1985 00:00	4	0.5	0	2.5	0	2.8	0	3	0	2.55757308	1.001110673	2.889150381
27.03.1985 00:00	2	1.5	2.5	2.5	3.5	15.1	0	0	9	1.421565294	0.5153355	1.975506306
28.03.1985 00:00	3	0	0	2	0	2.4	0	0	3	1.934995294	0.7502231	1.833930731
29.03.1985 00:00	0	0	6	1.5	1	0.2	0	0	7.5	0.174852997	0.117452964	0.954941034
30.03.1985 00:00	0	0	0	0	0	0	0	0	0	0.152793676	0.991537333	0.001488214
31.03.1985 00:00	0	0	0	0	0	0	0	6	0	5.05E-05	0	0.001270449
01.04.1985 00:00	0	0	0	0	0	0	0	0	0	0	0	0
02.04.1985 00:00	0	0	0	0	0	0	0	0	0	9.89E-04	1.55E-04	0.254940748
03.04.1985 00:00	0	0	0	0	0	0	0	0	0	0.211470246	1.363704205	0.296388477
04.04.1985 00:00	0	2	0	1	0	0	0	0	0	0.059763551	0.011307919	0.350934327
05.04.1985 00:00	0	0	0	0	0	0	0	0	0	0.175205678	1.134744287	0
06.04.1985 00:00	0	0	0	0	0	0	0	0	0	0.087820612	0.568439662	1.74E-04
07.04.1985 00:00	0	0	14	0	0	0	0	0	0	0.347709119	1.692495227	0.190075532
08.04.1985 00:00	3	9	0	11.4	12	1.2	0	0	8.7	2.35436058	0.865996003	2.587700129
09.04.1985 00:00	3.2	0	0	0	0	0	0	0	0	2.151235342	1.863005161	1.970918059
10.04.1985 00:00	1.4	6	4	3	0	1.5	0	0	5.5	1.463900924	2.809852123	1.352400541
11.04.1985 00:00	0	0	1	0	0	0	0	0	0	0.006380848	0.001245884	0.013642305
12.04.1985 00:00	0	0	0	0	0	0	0	0	0	0	0	0
13.04.1985 00:00	0	0	0	0	0	0	0	0	0	0.01052743	0.067877948	0
14.04.1985 00:00	0	0	0	0	0	0	0	0	0	0.015837044	0.102054186	0
